timestamps,DCM_APPS_Throttle,DCM_Brake_Recu,DCM_SteeringAngle,Gyro_Movella_Acc_Y,Gyro_Movella_Acc_X,HV_CurrentSensor_W,Groundspeed_Vel,AMK_Torque_FL,AMK_Torque_RL,AMK_Torque_RR,AMK_Torque_FR
3.649854,87,0,-5.52,2.18359375,-9.56640625,79420,82.30000000000001,10.59375,16.03125,15.71875,10.375
3.6665200000000002,87.25,0,-5.97,1.03515625,-10.28125,79406,82.9,10.5,15.90625,15.59375,10.34375
3.683186,87.44,0,-6.32,1.4921875,-9.9296875,79406,83.60000000000001,10.53125,15.90625,15.625,10.25
3.699852,87,0,-6.27,4.33984375,-10.3125,79607,83.7,10.46875,15.875,15.53125,10.3125
3.716518,87,0,-6.02,2.53515625,-9.74609375,79438,84.4,10.3125,15.71875,15.375,10.125
3.733184,88,0,-5.91,1.3203125,-9.6328125,79438,85.10000000000001,10.25,15.46875,15.25,9.96875
3.74985,88.5,0,-5.98,4.09765625,-8.64453125,79987,85.4,10.15625,15.375,15.09375,10.03125
3.766516,89.27,0,-5.46,4.17578125,-10.58984375,79987,86.10000000000001,10.0625,15.34375,14.96875,9.90625
3.783182,90,0,-4.8,3.96875,-8.3359375,79692,86.60000000000001,9.96875,15.15625,14.90625,9.75
3.799848,90,0,-4.38,1.06640625,-7.76953125,79692,87,10.0625,15.09375,14.9375,9.8125
3.816514,90,0,-3.98,5.0234375,-10.7890625,79625,87.7,9.84375,14.90625,14.8125,9.71875
3.83318,90,0,-3.38,2.01171875,-9.296875,79625,88.2,9.8125,14.90625,14.6875,9.71875
3.849846,90,0,-3.15,1.96484375,-6.22265625,79645,88.5,9.75,14.75,14.625,9.6875
3.866512,89,0,-3.22,1.3984375,-8.0859375,79634,89.4,9.5625,14.5625,14.4375,9.5625
3.883178,89.44,0,-3.65,-0.01171875,-6.8203125,79634,89.80000000000001,9.46875,14.375,14.21875,9.4375
3.899844,89.57000000000001,0,-3.97,1.30859375,-11.4296875,79653,90.5,9.53125,14.375,14.28125,9.40625
3.91651,89.25,0,-4.07,3.109375,-8.125,79653,90.9,9.5,14.375,14.21875,9.40625
3.933176,89.93,0,-3.98,4.41015625,-8.9140625,79742,91.30000000000001,9.46875,14.375,14.1875,9.46875
3.949842,89.92,0,-3.52,0.37890625,-10.46875,79742,91.7,9.4375,14.21875,14.125,9.28125
3.966508,89.25,0,-3.36,0.1484375,-8.0625,79159,92.30000000000001,9.3125,14.09375,13.9375,9.28125
3.983174,89.06,0,-2.97,1.9453125,-9.0859375,79159,92.60000000000001,9.34375,14.125,14,9.25
3.99984,89.58,0,-2.16,2.14453125,-9.05078125,79526,93.10000000000001,9.21875,14,13.875,9.21875
4.016506,89.23,0,-1.32,0.85546875,-7.44140625,79341,93.7,9.09375,13.84375,13.75,9.1875
4.033172,89.92,0,-0.89,-0.6640625,-5.40625,79341,94,9.09375,13.78125,13.71875,9.03125
4.049838,89.57000000000001,0,-0.59,-0.90625,-7.41796875,79583,94.4,9,13.5625,13.59375,9.03125
4.066504,90,0,-0.36,-0.73828125,-8.2265625,79583,95.2,9.03125,13.5,13.46875,8.875
4.08317,90,0,-0.31,0.78125,-8.87109375,79185,95.5,8.9375,13.5,13.5,8.9375
4.099836,90,0,-0.31,-1.08203125,-6.64453125,79185,95.80000000000001,8.9375,13.4375,13.5,8.9375
4.116502,90,0,-0.42,-2.03125,-6.4140625,79122,96.5,8.75,13.21875,13.21875,8.8125
