timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,Groundspeed_Vel,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W
5.6178,118.3,165.9,261.5,257.7,100,0,37,-14.8,-14.8,53121
5.6345,179.3,191.8,261.1,259.9,100,0,40,-15.1,-15.1,54685
5.6511,156.9,182.8,258.9,260.5,100,0,40,-15.8,-15.8,56215
5.6678,129.9,181.3,259.2,262.5,100,0,40,-15.6,-15.6,58027
5.6845,129.2,182.3,262.5,263.8,100,0,40,-15.2,-15.2,58620
5.7011,111.4,179.3,262.1,263.3,100,0,0,-14.6,-14.6,59897
5.7178,131.3,180.4,261.8,259.1,100,0,0,-14.9,-14.9,60547
5.7345,150.1,182.7,257,258.8,100,0,44,-14.8,-14.8,61984
5.7511,188.2,182.2,259.4,261.8,100,0,44,-15.2,-15.2,62771
5.7678,175.3,182,261.6,252.3,100,0,44,-15.2,-15.2,64930
5.7845,132,180.7,265.8,271.1,100,0,48,-15.4,-15.4,66206
5.8012,124,179.6,264.9,260.2,100,0,48,-15.1,-15.1,67445
5.8178,137.5,185.6,266.4,269.1,100,0,48,-15.4,-15.4,68293
5.8345,177.5,182.9,261.4,262.3,100,0,49,-15.6,-15.6,69238
5.8512,181.1,181.3,259.3,259,100,0,50,-15.8,-15.8,71776
5.8678,181.4,180.9,260.6,257.5,100,0,50,-15.2,-15.2,73334
5.8845,187,172.1,254.8,260.3,100,0,53,-14.6,-14.6,75406
5.9012,184.1,168.7,255.9,252.2,100,0.2,53,-14.2,-14.2,75921
5.9178,182,166,251.1,246.3,100,0.8,53,-14.5,-14.5,76518
5.9345,177.2,162.2,243.4,243.4,100,0.3,54,-14.5,-14.5,76599
5.9512,109,159.3,236.7,236.2,100,0,54,-14.4,-14.4,75648
5.9679,174.6,161.4,239.8,241,100,0,0,-13.6,-13.6,75514
5.9845,175.1,156.3,238.3,238,100,0,0,-13.5,-13.5,75381
6.0012,135.2,155.5,233.2,232.4,100,0.1,58,-13.4,-13.4,75698
6.0179,170.5,151.1,230.4,228.5,100,0,59,-13.6,-13.6,75116
6.0345,166.9,149.5,227.3,227.2,100,0,59,-13.1,-13.1,75110
6.0512,166.5,149.9,222.8,223.5,100,0,60,-12.6,-12.6,75697
6.0679,162.7,148.4,223.3,224.5,100,0.7,61,-12.6,-12.6,76284
6.0845,165.5,141.6,216.1,219.6,100,1.5,62,-12.9,-12.9,76177
